../../foil_data\ah85l120.dat,0.0,15000.0,1.0
../../foil_data\ah85l120.dat,0.0,20000.0,1.5
../../foil_data\ah85l120.dat,0.0,20000.0,2.0
../../foil_data\ah85l120.dat,0.0,20000.0,2.5
../../foil_data\ah85l120.dat,0.0,20000.0,3.0
../../foil_data\ah85l120.dat,0.0,25000.0,1.0
../../foil_data\ah85l120.dat,0.0,25000.0,1.5
../../foil_data\ah85l120.dat,0.0,25000.0,2.5
../../foil_data\ah85l120.dat,0.0,25000.0,3.0
../../foil_data\ah85l120.dat,0.0,30000.0,1.0
../../foil_data\ah85l120.dat,0.0,30000.0,1.5
../../foil_data\ah85l120.dat,0.0,30000.0,2.0
../../foil_data\ah85l120.dat,0.0,35000.0,1.5
../../foil_data\ah85l120.dat,0.0,35000.0,2.0
../../foil_data\ah85l120.dat,0.0,40000.0,1.0
../../foil_data\ah85l120.dat,0.0,40000.0,2.0
../../foil_data\ah85l120.dat,0.0,45000.0,1.0
../../foil_data\ah85l120.dat,0.0,45000.0,1.5
../../foil_data\ah85l120.dat,0.0,45000.0,2.0
../../foil_data\ah85l120.dat,0.0,50000.0,1.0
../../foil_data\ah85l120.dat,0.0,50000.0,2.0
../../foil_data\ah85l120.dat,0.0,50000.0,3.0
../../foil_data\ah85l120.dat,0.0,55000.0,1.0
../../foil_data\ah85l120.dat,0.0,55000.0,1.5
../../foil_data\ah85l120.dat,0.0,55000.0,2.0
../../foil_data\ah85l120.dat,0.0,55000.0,2.5
../../foil_data\ah85l120.dat,0.0,60000.0,1.0
../../foil_data\ah85l120.dat,0.0,60000.0,1.5
../../foil_data\ah85l120.dat,0.0,60000.0,2.0
../../foil_data\ah85l120.dat,0.0,60000.0,2.5
../../foil_data\ah85l120.dat,0.0,60000.0,3.0
../../foil_data\ah85l120.dat,0.0,65000.0,1.0
../../foil_data\ah85l120.dat,0.0,65000.0,1.5
../../foil_data\ah85l120.dat,0.0,65000.0,3.0
../../foil_data\ah85l120.dat,0.0,70000.0,1.0
../../foil_data\ah85l120.dat,0.0,70000.0,1.5
