GF0002
1.000000 0.000000
0.999615 0.000030
0.998459 0.000120
0.996534 0.000266
0.993844 0.000467
0.990393 0.000716
0.986185 0.001009
0.981228 0.001338
0.975528 0.001698
0.969096 0.002081
0.961940 0.002480
0.954072 0.002890
0.945503 0.003305
0.936248 0.003720
0.926320 0.004133
0.915735 0.004541
0.904508 0.004946
0.892658 0.005347
0.880203 0.005749
0.867161 0.006155
0.853553 0.006571
0.839400 0.007002
0.824724 0.007457
0.809547 0.007943
0.793893 0.008467
0.777785 0.009037
0.761249 0.009659
0.744311 0.010338
0.726995 0.011078
0.709330 0.011884
0.691342 0.012754
0.673059 0.013690
0.654508 0.014687
0.635720 0.015740
0.616723 0.016844
0.597545 0.017989
0.578217 0.019166
0.558769 0.020363
0.539230 0.021567
0.519630 0.022766
0.500000 0.023945
0.480370 0.025091
0.460770 0.026190
0.441231 0.027229
0.421783 0.028197
0.402455 0.029081
0.383277 0.029872
0.364280 0.030563
0.345492 0.031145
0.326941 0.031614
0.308658 0.031966
0.290670 0.032199
0.273005 0.032312
0.255689 0.032306
0.238751 0.032182
0.222215 0.031943
0.206107 0.031592
0.190453 0.031134
0.175276 0.030572
0.160600 0.029910
0.146447 0.029154
0.132839 0.028306
0.119797 0.027373
0.107342 0.026357
0.095492 0.025263
0.084265 0.024093
0.073680 0.022852
0.063752 0.021542
0.054497 0.020167
0.045928 0.018729
0.038060 0.017233
0.030904 0.015682
0.024472 0.014079
0.018772 0.012429
0.013815 0.010737
0.009607 0.009007
0.006156 0.007245
0.003466 0.005457
0.001541 0.003650
0.000385 0.001828
0.000000 0.000000
0.000385 -0.001828
0.001541 -0.003650
0.003466 -0.005457
0.006156 -0.007245
0.009607 -0.009007
0.013815 -0.010737
0.018772 -0.012429
0.024472 -0.014079
0.030904 -0.015682
0.038060 -0.017233
0.045928 -0.018729
0.054497 -0.020167
0.063752 -0.021542
0.073680 -0.022852
0.084265 -0.024093
0.095492 -0.025263
0.107342 -0.026357
0.119797 -0.027373
0.132839 -0.028306
0.146447 -0.029154
0.160600 -0.029910
0.175276 -0.030572
0.190453 -0.031134
0.206107 -0.031592
0.222215 -0.031943
0.238751 -0.032182
0.255689 -0.032306
0.273005 -0.032312
0.290670 -0.032199
0.308658 -0.031966
0.326941 -0.031614
0.345492 -0.031145
0.364280 -0.030563
0.383277 -0.029872
0.402455 -0.029081
0.421783 -0.028197
0.441231 -0.027229
0.460770 -0.026190
0.480370 -0.025091
0.500000 -0.023945
0.519630 -0.022766
0.539230 -0.021567
0.558769 -0.020363
0.578217 -0.019166
0.597545 -0.017989
0.616723 -0.016844
0.635720 -0.015740
0.654508 -0.014687
0.673059 -0.013690
0.691342 -0.012754
0.709330 -0.011884
0.726995 -0.011078
0.744311 -0.010338
0.761249 -0.009659
0.777785 -0.009037
0.793893 -0.008467
0.809547 -0.007943
0.824724 -0.007457
0.839400 -0.007002
0.853553 -0.006571
0.867161 -0.006155
0.880203 -0.005749
0.892658 -0.005347
0.904508 -0.004946
0.915735 -0.004541
0.926320 -0.004133
0.936248 -0.003720
0.945503 -0.003305
0.954072 -0.002890
0.961940 -0.002480
0.969096 -0.002081
0.975528 -0.001698
0.981228 -0.001338
0.986185 -0.001009
0.990393 -0.000716
0.993844 -0.000467
0.996534 -0.000266
0.998459 -0.000120
0.999615 -0.000030
1.000000 -0.000000
