mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.072770,0.042480,-0.000000,0.828000,0.828000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.076400,0.073460,0.042950,-0.002200,0.759100,0.920600,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.157100,0.075020,0.044260,-0.005500,0.683400,0.996400,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.187100,0.077480,0.046520,-0.000000,0.620200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.212900,0.080640,0.049290,0.006300,0.546500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.250700,0.085650,0.054220,0.009500,0.516300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.273700,0.090820,0.059130,0.014300,0.452200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.318000,0.097190,0.065560,0.016400,0.405300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.335800,0.105060,0.073330,0.017900,0.367300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.365200,0.112830,0.081250,0.019000,0.313800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.399100,0.122800,0.091310,0.017900,0.290700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.422900,0.132080,0.100660,0.017200,0.248200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.436400,0.143040,0.111870,0.014300,0.220900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.466700,0.155850,0.125020,0.010800,0.210600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.483300,0.167040,0.136250,0.007200,0.180600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.507200,0.180510,0.150970,0.003000,0.163600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.052580,0.030620,0.000000,0.680000,0.680100,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.084500,0.053340,0.031430,0.000700,0.630900,0.759500,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.158900,0.054160,0.032080,0.003000,0.551700,0.817900,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,10000.0,4.00,0.303000,0.059590,0.037640,0.004300,0.455600,0.971000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.356000,0.062620,0.040600,0.008800,0.405100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.355900,0.068800,0.046590,0.015500,0.353200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.389100,0.074350,0.052140,0.019900,0.310200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.408600,0.082470,0.060220,0.022100,0.272600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.427600,0.091360,0.069110,0.023000,0.235100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.450700,0.100580,0.078480,0.023000,0.201800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.464400,0.113060,0.091110,0.020200,0.189100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.477000,0.123890,0.102090,0.017800,0.154000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.493600,0.136850,0.115120,0.013800,0.141300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.502500,0.149690,0.128110,0.008600,0.113300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.528900,0.163130,0.142490,0.004300,0.106200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,-0.000000,0.042740,0.024470,0.000000,0.637900,0.637900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.086200,0.042730,0.024140,0.002400,0.569500,0.687300,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.185900,0.043630,0.025070,0.002900,0.516200,0.759800,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.264500,0.045160,0.026640,0.005200,0.473200,0.815300,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.346400,0.047110,0.028640,0.007300,0.414100,0.890900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.409200,0.050380,0.032080,0.009900,0.362900,0.954900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.454900,0.054380,0.036210,0.014100,0.317900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.473300,0.059470,0.041210,0.021200,0.276300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.495000,0.066080,0.047800,0.025600,0.244200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.502600,0.075340,0.057150,0.027200,0.202100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.504300,0.088500,0.070490,0.025300,0.185000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.514300,0.099370,0.081480,0.024000,0.152500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.511300,0.114230,0.096450,0.019600,0.136200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.516000,0.127330,0.109680,0.015200,0.107600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.542300,0.138830,0.122020,0.012300,0.100200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,20000.0,0.00,0.000000,0.036310,0.019510,-0.000000,0.600700,0.600700,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,1.00,0.095700,0.036730,0.019980,0.002100,0.535100,0.659400,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,2.00,0.192600,0.037200,0.020290,0.003700,0.497500,0.711900,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,3.00,0.278200,0.038550,0.021840,0.006300,0.439200,0.782800,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,4.00,0.371600,0.039960,0.023130,0.007700,0.388800,0.837100,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,5.00,0.441100,0.042570,0.026080,0.011000,0.341900,0.906500,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,6.00,0.516700,0.045200,0.028590,0.013400,0.289600,0.967900,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,7.00,0.555300,0.049190,0.032800,0.019400,0.257100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,8.00,0.563200,0.054910,0.038620,0.026800,0.214700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,9.00,0.582100,0.062220,0.046110,0.030400,0.194500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,10.00,0.567200,0.075750,0.060100,0.029100,0.167600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,11.00,0.567200,0.088160,0.072530,0.027300,0.143000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,12.00,0.543700,0.105800,0.090400,0.021700,0.116000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,13.00,0.559300,0.117190,0.102570,0.019000,0.101000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,14.00,0.551500,0.134520,0.119930,0.012000,0.084900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,15.00,0.554900,0.149850,0.135200,0.005100,0.064700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,0.00,0.000000,0.032380,0.016250,-0.000000,0.568100,0.568100,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,1.00,0.098800,0.032620,0.017000,0.002100,0.520300,0.636600,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,2.00,0.190500,0.033120,0.017400,0.004700,0.476200,0.684200,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,3.00,0.289300,0.034130,0.018440,0.006300,0.416800,0.751000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,4.00,0.373400,0.035500,0.019840,0.009400,0.369200,0.806500,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,5.00,0.461100,0.037450,0.021870,0.011200,0.316900,0.874700,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,6.00,0.535000,0.039940,0.024460,0.014400,0.276600,0.930200,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,7.00,0.602300,0.043440,0.028050,0.016600,0.230300,0.998200,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,8.00,0.619600,0.047480,0.032120,0.026000,0.202600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,9.00,0.637200,0.053840,0.038950,0.031300,0.183500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,10.00,0.643900,0.062350,0.047640,0.033700,0.153200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,11.00,0.628500,0.076650,0.062520,0.031300,0.136000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,12.00,0.597200,0.094710,0.081500,0.025700,0.107400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,13.00,0.596600,0.108870,0.095710,0.021800,0.097600,1.000000,['poor_input_coordinate_distribution']
